hashtag,index,abstract,raw_labels,abstract_df_idx,emoji_s,count
上海新增5例境外输入,1005,导语：6月11日0—24时，通过口岸联防联控机制，上海报告5例境外输入性新冠肺炎确诊病例。,"[6, 4, 13]",2675,"(6, 4, 13, 1, 15, 0, 18, 2, 20, 11, 3, 8, 7, 14, 19, 10, 16)","(698, 109, 42, 29, 23, 20, 14, 13, 13, 11, 11, 9, 9, 8, 5, 5, 2)"
你生活没意思的根本原因,2035,导语：姐妹你会觉得生活没有意思吗？你觉得没有意思的原因是什么？,"[20, 2, 4]",2676,"(20, 2, 4, 3, 11, 19, 16, 13, 21, 0, 5, 12, 15, 18, 8, 7, 22, 1, 14, 9, 6, 17, 10, 23)","(1030, 196, 159, 149, 61, 46, 33, 26, 24, 22, 16, 14, 12, 10, 10, 10, 10, 10, 10, 9, 8, 7, 6, 5)"
伊朗已完成1000万人疫情排查,1872,导语：据伊朗伊斯兰共和国通讯社报道，伊朗卫生部副部长阿里雷扎·雷西15日表示，截至当天伊朗启动的国家动员计划完成了1000万人的疫情排查工作。,"[5, 13, 3]",2677,"(5, 13, 3, 0, 6, 1, 8, 15, 9, 21, 12, 17, 22, 16)","(2392, 88, 67, 44, 22, 19, 9, 8, 7, 7, 5, 4, 1, 1)"
朋友圈其实可以这样玩,7367,导语：原来朋友圈可以这样玩，带话题发微博分享下你的朋友圈分组吧！,"[2, 3, 8]",2678,"(2, 3, 8, 9, 7, 19, 13, 1, 10, 5, 18, 12, 21, 11, 0, 16, 22, 20, 23, 17, 6, 14, 4, 15)","(583, 260, 62, 44, 38, 38, 31, 27, 26, 24, 23, 23, 21, 20, 19, 17, 15, 13, 11, 11, 10, 8, 7, 4)"
医护人员齐喊武汉必胜,2957,导语：武汉金银潭医院内，医护人员高喊“众志成城，科学防治，武汉必胜”。,"[0, 4, 5]",2679,"(0, 4, 5, 17, 8, 23, 16, 21, 20, 12, 15, 9, 14, 11, 19, 6, 10, 13)","(3230, 367, 168, 46, 13, 13, 9, 8, 8, 6, 5, 4, 4, 3, 1, 1, 1, 1)"
日本累计确诊新冠肺炎838例,7057,导语：截至当地时间23日21时20分，日本新冠肺炎确诊病例共计838人，包括在日本国内的感染者和中国游客等133人，“钻石公主”号邮轮的乘客和乘务人员691人，以及乘坐日本政府包机回到日本国内的14人。,"[4, 9, 3]",2680,"(4, 9, 3, 19, 10, 6, 12, 2, 5, 0, 13, 1, 18, 15, 16, 23, 8, 22, 7, 14, 17, 20)","(573, 91, 73, 50, 46, 45, 44, 41, 33, 32, 29, 27, 16, 11, 11, 8, 7, 7, 5, 5, 5, 4)"
金海下线,12603,导语：啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！我不能接受！！,"[4, 6, 11]",2681,"(4, 6, 11, 1, 19, 3, 9, 7, 12, 5, 15, 13, 2, 14, 10, 23, 8, 16, 17, 18, 21)","(1172, 359, 86, 37, 20, 19, 11, 10, 9, 8, 7, 7, 6, 6, 5, 4, 2, 2, 2, 1, 1)"
全国统一的床单,2309,导语：哈哈哈哈哈，传说每个人家里都有过一条这样的床单，你有见过吗？,"[8, 3, 2]",2682,"(8, 3, 2, 1, 5, 0, 15, 21, 9, 18, 7, 6, 20, 10, 11, 19, 23, 16, 14, 4, 12, 13, 17, 22)","(3409, 1216, 576, 58, 49, 34, 25, 23, 18, 15, 15, 14, 14, 13, 12, 11, 11, 11, 11, 9, 9, 9, 9, 7)"
AirPods单季营收达40亿美元,455,导语：调研公司Asymco今天发表了一份研究报告，其中提到了苹果公司的可穿戴设备、智能家居和其他类别的大致收入规模。根据他们的数据，AirPods无线耳机的单季度营收，已经达到40亿美元，与2007年iPod播放器最顶峰时期相当。,"[2, 3, 5]",2683,"(2, 3, 5, 9, 20, 8, 1, 18, 0, 21, 22, 23, 4, 16)","(51, 21, 10, 8, 8, 6, 6, 5, 5, 4, 4, 2, 1, 1)"
杨和苏丁丁合唱,7719,导语：每周六20:30《天赐的声音》。声音凝聚力量，音乐抚慰心灵。,"[0, 1, 5]",2684,"(0, 1, 5, 7, 3, 2, 16, 8, 6, 4, 14, 10, 13, 22, 11, 21, 17, 9, 23, 18, 19)","(733, 139, 71, 61, 32, 28, 15, 14, 14, 13, 11, 8, 7, 6, 3, 3, 3, 2, 2, 1, 1)"
怎么看待高中时期的爱情,6129,导语：大家怎么看待，高中时期的爱情？你接受高中生恋爱吗？,"[0, 2, 1]",2685,"(0, 2, 1, 11, 19, 20, 3, 12, 10, 4, 18, 5, 9, 17, 6, 7, 8, 16, 21, 22)","(1072, 171, 160, 61, 54, 46, 41, 30, 30, 25, 22, 18, 15, 12, 11, 6, 4, 3, 2, 2)"
0214的意思,2,导语：哈哈哈哈，你觉得情人节0214的真实意思是什么？一起来讨论下，看看谁的更有趣,"[2, 8, 3]",2686,"(2, 8, 3, 0, 18, 1, 11, 21, 23, 5, 10, 4, 17, 9, 19, 16, 6, 13, 12, 7, 22, 14, 20, 15)","(1302, 804, 304, 258, 110, 73, 41, 35, 35, 33, 32, 29, 27, 23, 22, 22, 21, 20, 19, 17, 13, 13, 11, 7)"
日本人的嘴有多硬,6983,导语：日本人的嘴有多硬？哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈！月曜经典回顾。说！这到底是不是熊猫！？,"[8, 3, 1]",2687,"(8, 3, 1, 6, 2, 16, 11, 13, 0, 18, 9, 10, 4, 5, 12, 15, 20, 7, 14, 19, 23, 17, 21, 22)","(4021, 1114, 212, 115, 111, 19, 18, 18, 14, 13, 10, 10, 8, 8, 8, 6, 6, 5, 3, 2, 2, 2, 1, 1)"
冰岛发现全球首例双重感染者,2520,导语：3月24日，冰岛媒体称当地一名新冠肺炎患者被检测出体内存在两种新冠病毒，其中一种为原始病毒的变体，可能是全球首次“双重感染者”。冰岛deCODE基因公司在其体内仅发现变异后的病毒，这表明变异病毒可能更具传染性和杀伤力，但该公司CEO也表示这起病例有可能只是某种巧合。,"[15, 3, 4]",2688,"(15, 3, 4, 12, 16, 1, 10, 5, 11, 23, 21, 18, 9, 2, 7, 19, 20, 8, 0, 13, 17, 22, 14, 6)","(3245, 682, 604, 168, 136, 87, 48, 45, 25, 24, 22, 21, 19, 19, 18, 17, 16, 15, 15, 10, 8, 7, 7, 6)"
过年前最后2天,12172,导语：9种受益终生的能力↓过年前最后2天，为梦想全力以赴！早安。 ​,"[0, 4, 3]",2689,"(0, 4, 3, 2, 12, 16, 13, 8, 21, 18, 10, 17, 7, 9, 23, 22, 1, 20, 5, 14, 11, 19)","(1351, 195, 92, 58, 32, 31, 29, 28, 25, 23, 23, 15, 13, 10, 10, 9, 8, 7, 6, 6, 3, 2)"
广西普通话能有多好笑,5532,导语：哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,"[3, 8, 2]",2690,"(3, 8, 2, 11, 1, 6, 18, 19, 17, 0, 22)","(162, 84, 55, 18, 9, 6, 4, 3, 3, 2, 1)"
女生一周不洗头发型,4477,导语：听说女孩子一周不洗头的话 发型变化就是这样的 哈哈哈哈有没有戳中你的内心？,"[3, 2, 8]",2691,"(3, 2, 8, 16, 1, 18, 21, 5, 4, 0, 23, 7, 19, 13, 17, 12, 14, 20, 6, 9, 22, 11, 15, 10)","(1424, 468, 310, 116, 67, 59, 52, 36, 34, 33, 32, 31, 31, 27, 26, 23, 23, 23, 22, 20, 19, 18, 18, 16)"
傻瓜文案生成器,2189,导语：用傻瓜文案生成器能玩出什么有趣的效果呢？话题大赛已经开启！带#傻瓜文案生成器#发微博分享你的生成结果即可角逐沙雕文案排名,"[8, 2, 1]",2692,"(8, 2, 1, 3, 9, 6, 5, 0, 16, 11, 4, 7, 15, 12, 21, 20, 14, 19, 18, 13)","(970, 469, 129, 65, 34, 31, 29, 17, 16, 14, 10, 10, 10, 10, 7, 7, 6, 5, 2, 1)"
国防部回应辽宁舰通过宫古海峡,3935,导语：国防部发言人吴谦回应：中国军队根据年度训练计划开展演训活动，完全符合国际法和国际惯例，日方指责毫无道理。,"[5, 11, 2]",2693,"(5, 11, 2, 6, 10, 14, 9, 3, 4, 18, 23, 16, 17, 15, 13, 12, 19, 20, 0, 1)","(981, 52, 29, 27, 13, 13, 12, 12, 11, 10, 9, 9, 9, 8, 8, 7, 6, 6, 5, 3)"
京都一大学暴发疫情,1706,导语：位于京都市北区的京都产业大学发生新冠肺炎聚集性感染，截至2日已有至少27名该校学生确诊，相关确诊病例达46例。,"[15, 4, 10]",2694,"(15, 4, 10, 7, 2, 5, 16, 9, 1, 3, 19, 6, 13, 12, 21, 18, 11, 23, 17, 0, 20, 8, 22)","(1740, 385, 190, 116, 77, 76, 73, 69, 39, 37, 32, 29, 29, 28, 18, 13, 9, 9, 9, 8, 3, 2, 1)"
小时候以为的2020,5124,导语：2020年马上就要到了！它和你小时候想象的一样吗？带话题说说你小时候以为的2020，转评赞大于等于5即可入围。,"[3, 2, 8]",2695,"(3, 2, 8, 18, 1, 17, 9, 16, 4, 7, 11, 14, 10, 20, 13, 15, 22, 0, 23, 19, 12, 21, 6, 5)","(283, 81, 37, 29, 26, 22, 21, 21, 20, 20, 19, 17, 16, 15, 14, 12, 11, 11, 11, 8, 8, 7, 5, 5)"
高三班主任视频记录学生日常,13435,导语：吉林松原，一名高三班主任拍摄学生的日常生活走红网络。,"[17, 0, 3]",2696,"(17, 0, 3, 14, 2, 20, 4, 23, 8, 21, 16, 11, 18, 5, 9, 7, 19, 6, 13)","(167, 34, 26, 22, 17, 12, 11, 10, 5, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1)"
澳洲负鼠鼻子被山火烧秃,9265,导语：据卫报1月12日报道，在南澳大利亚袋鼠岛被烧焦三分之一后，动物救援队进入袋鼠岛进行搜救。一只鼻子被烧秃的负鼠幸运获救，国际人道主义协会一直在为野生动物建造救助站，他们表示，每一只活下来的动物都是奇迹。,"[12, 4, 10]",2697,"(12, 4, 10, 6, 7, 5, 0, 11, 20, 22, 1, 23, 17, 15, 19, 16, 14, 9, 21)","(2612, 407, 48, 27, 12, 12, 10, 8, 8, 7, 7, 7, 7, 6, 6, 6, 6, 5, 3)"
口罩认人大赛,3313,导语：哈哈哈哈哈哈哈哈哈，因为对方戴着口罩，你有过认错人的经历吗？,"[2, 3, 0]",2698,"(2, 3, 0, 18, 7, 8, 21, 5, 1, 15, 22, 20)","(73, 37, 34, 20, 16, 8, 5, 5, 3, 3, 2, 1)"
湖南邻居杀害6岁男童一审被判死刑,9184,导语：因土地纠纷，2019年3月湖南6岁男童被65岁邻居砍杀身亡，4月28日被告人邓某滔因犯故意杀人罪，被判处死刑。,"[5, 4, 6]",2699,"(5, 4, 6, 13, 12, 10, 7, 0, 14, 11, 16, 23, 20, 2, 19, 1, 18, 8, 22, 15, 17, 9, 3, 21)","(5352, 427, 177, 100, 50, 38, 12, 12, 11, 10, 10, 9, 8, 5, 5, 4, 3, 2, 2, 2, 2, 1, 1, 1)"
浙江新增7例均为意大利输入病例,8821,导语：3月2日0-24时，浙江省新增新型冠状病毒肺炎确诊病例7例（均为丽水市青田县报告的意大利输入病例），新增出院病例36例。,"[6, 0, 4]",2700,"(6, 0, 4, 1, 11, 10, 5, 12, 3, 16, 8, 22, 9, 15, 18, 21, 19, 2, 13, 17, 14, 7, 23, 20)","(7367, 497, 368, 280, 136, 84, 81, 42, 31, 28, 25, 21, 18, 16, 13, 12, 12, 9, 9, 7, 4, 2, 2, 2)"
山西一元代古桥被破坏性修复,5272,导语：一处位于山西省北部，年代或可上溯至金、元时期的古代石桥，在疫情后被发现悄然变身、面目全非、令人痛心。视频经传播发酵，已引起山西省文物局关注。,"[6, 4, 12]",2701,"(6, 4, 12, 9, 11, 5, 1, 2, 19, 3, 16, 20, 21, 13, 0, 23, 10, 8, 22, 17)","(2851, 279, 181, 46, 23, 19, 17, 16, 15, 14, 9, 9, 8, 8, 7, 6, 5, 3, 2, 1)"
身高160女生颜值大赛,12122,导语：身高160左右的集美们，快来带照片参赛吧，转赞评大于5即可入围榜单，冲鸭！,"[1, 6, 2]",2702,"(1, 6, 2, 3, 4, 20, 18, 9, 7, 11, 22, 0, 10, 19, 5, 8, 16, 15, 13, 17, 21, 23, 14, 12)","(4628, 458, 268, 106, 55, 52, 42, 42, 39, 26, 25, 23, 22, 15, 13, 12, 11, 9, 9, 9, 4, 3, 3, 1)"
过年前最后5天,12173,导语：靠谱，其实是对一个人最高级的评价。过年前最后5天，愿你我都能成为靠谱的人，共勉，早安。,"[2, 3, 0]",2703,"(2, 3, 0, 4, 7, 11, 22, 14, 8, 5, 17, 18, 19, 12, 16, 20)","(152, 99, 34, 30, 21, 15, 14, 7, 5, 5, 4, 3, 3, 1, 1, 1)"
原来不喜欢现在却喜欢的事,3217,导语：转评赞大于等于5即可入围大赛！带话题发微博即可参与！带上话题发博你原来不喜欢现在却喜欢的事.,"[3, 2, 0]",2704,"(3, 2, 0, 1, 8, 4, 11, 16, 19, 20, 7, 12, 18, 9, 21, 23, 22)","(220, 142, 39, 33, 31, 18, 14, 11, 9, 8, 7, 6, 5, 5, 5, 5, 3)"
美国密歇根州千人抗议居家令,10716,导语：当地时间4月15日，美国密歇根州数千民众因不满州长延长居家令，聚集在州议会大厦前抗议。州长回应称，这样的行为令更多人处于风险之中。此前该州州长宣布将居家令延长至4月30日。而密歇根州是美国新冠肺炎病例第四多的州，已确诊超2.8万例，死亡1921例。,"[1, 5, 2]",2705,"(1, 5, 2, 13, 10, 9, 19, 3, 21, 20, 11, 7, 8, 14)","(436, 325, 189, 58, 38, 24, 16, 4, 4, 4, 3, 2, 1, 1)"
女生冬天上厕所有多麻烦,4485,导语：带话题#女生冬天上厕所有多麻烦#，讲一讲你在冬天上厕所有多崩溃,"[3, 2, 11]",2706,"(3, 2, 11, 17, 1, 10, 23, 16, 14, 13, 5, 0, 12, 18, 15, 21, 20)","(30, 12, 10, 10, 9, 9, 9, 9, 8, 7, 5, 5, 5, 4, 4, 2, 2)"
2020年考证时间表,167,导语：2020年来了，考证在你的新年计划中吗？人社部近日发布2020年度专业技术人员职业资格考试工作计划，明确教师资格、会计、法律职业资格等56项职业资格考试的具体日期。,"[21, 16, 22]",2707,"(21, 16, 22, 3, 9, 13, 11, 2, 5, 20, 8, 19, 0, 6, 17, 4, 7, 12, 10)","(36, 20, 19, 15, 12, 6, 5, 5, 5, 5, 4, 4, 4, 3, 3, 2, 1, 1, 1)"
抗击埃博拉女军医再次驰援湖北,6576,导语：2015年2月，宋彩萍参加埃博拉战斗归来，儿子去迎接。5年后的除夕夜，宋彩萍出征奔赴武汉。已经高出妈妈一头的儿子，并没有太多语言，给了妈妈大大的拥抱。,"[5, 0, 14]",2708,"(5, 0, 14, 13, 23, 17, 4, 20, 9, 3, 7, 18, 12, 21, 11, 2, 22, 8, 1, 15, 19, 16, 10)","(732, 135, 50, 28, 26, 24, 23, 20, 17, 16, 14, 12, 12, 10, 8, 8, 7, 6, 6, 6, 6, 4, 1)"
花无缺上线,11191,导语：#电视剧绝代双骄#刚刚送走江枫爹爹，转眼花无缺就来了。@胡一天啊,"[17, 1, 3]",2709,"(17, 1, 3, 2, 7, 5, 4, 21, 8, 9, 6, 19, 0, 12, 13, 14, 18, 22, 11, 10, 16, 20, 23, 15)","(1972, 729, 139, 107, 72, 65, 42, 36, 30, 26, 23, 21, 21, 19, 19, 18, 13, 11, 9, 9, 9, 8, 7, 3)"
华春莹问媒体移花接木的谎言能起诉吗,3060,导语：就英国《每日电讯报》和《每日邮报》报道的所谓病毒来自武汉实验室视频，华春莹说：像这种移花接木的伎俩，不知道媒体朋友能不能给我们好的建议，有无更有效的方法去对付它们？可以起诉它们么？,"[5, 23, 1]",2710,"(5, 23, 1, 10, 2, 16, 12, 17, 18, 6, 0, 20, 21)","(1791, 26, 22, 14, 9, 7, 6, 5, 3, 3, 3, 2, 1)"
申军良为儿子改名,9911,导语：3月7日晚上7时许，申军良夫妇终于见到了被拐走15年的儿子。43岁的申军良这段时间被幸福“塞满”了。他说，经过多方沟通，儿子决定回来与他们共同生活，其户口已从广东迁到了河南周口老家。在新的户口簿和身份证件上，申聪用了一个新的名字。,"[5, 0, 4]",2711,"(5, 0, 4, 1, 7, 8, 14, 11, 2, 21, 20, 13, 23, 19, 16, 3, 15, 17, 22, 6, 10)","(1002, 284, 45, 21, 19, 13, 9, 8, 8, 8, 8, 7, 7, 6, 6, 5, 5, 5, 4, 2, 2)"
高嘉朗哭了,13479,导语：每周六20:30《天赐的声音》。声音凝聚力量，音乐抚慰心灵。,"[0, 4, 1]",2712,"(0, 4, 1, 5, 3, 18, 2, 12, 6, 23, 7, 10, 14, 19, 13, 16, 17)","(4957, 463, 57, 43, 21, 8, 7, 7, 6, 5, 3, 2, 2, 1, 1, 1, 1)"
英首相未婚妻出现新冠病毒症状,11340,导语：英首相约翰逊的未婚妻西蒙兹出现新冠病毒感染症状，过去7天一直卧病在床休息。约翰逊此前和西蒙兹订婚，女方目前已经怀孕。,"[2, 15, 10]",2713,"(2, 15, 10, 4, 1, 18, 13, 3, 16, 7, 0, 5, 6, 9, 17, 11, 14, 8, 21, 22, 20, 19, 23)","(979, 221, 112, 91, 72, 62, 52, 28, 20, 16, 13, 12, 10, 9, 7, 6, 3, 2, 2, 2, 2, 1, 1)"
北京制定国内首个新冠肺炎临床路径,2818,导语：3月4日，在北京市新型冠状病毒肺炎疫情防控工作新闻发布会上，北京地坛医院主任医师陈志海介绍了《北京市新型冠状病毒肺炎病例临床路径》（第一版）的主要内容。,"[5, 1, 17]",2714,"(5, 1, 17, 18, 9, 3, 0, 4, 22, 13, 15, 7, 2, 12, 23, 10, 19, 16, 6, 11, 8, 14)","(331, 42, 13, 12, 12, 11, 11, 9, 9, 9, 8, 7, 7, 7, 7, 6, 3, 3, 2, 1, 1, 1)"
世卫表示武汉零新增为世界提供了希望,1162,导语：当地时间20日，世卫组织在日内瓦召开新冠肺炎例行发布会，世卫组织总干事谭德塞表示，世卫组织已收到全球21万多例新冠肺炎报告，9000多人死亡，但武汉零新增确诊病例为其他地区提供了希望。武汉的例子证明，即便新冠肺炎疫情最为严重的地区也能够遏制疫情。,"[5, 0, 13]",2715,"(5, 0, 13, 6, 18, 9, 3, 23, 8, 15, 19, 17, 20, 11, 12, 14, 1, 2, 22, 10, 16)","(1549, 191, 24, 22, 16, 13, 13, 13, 9, 7, 7, 7, 6, 5, 5, 5, 4, 3, 2, 2, 2)"
如何让siri生气,4599,导语：如何让siri生气，像极了哄女朋友时的我😂带话题发微博分享你和siri的有趣对话吧~,"[3, 2, 8]",2716,"(3, 2, 8, 5, 0, 20, 1, 12, 14, 17, 13, 7, 19, 21, 23, 11, 9, 18, 10, 6, 16)","(408, 395, 306, 27, 17, 16, 12, 12, 12, 11, 10, 9, 9, 8, 8, 7, 7, 6, 5, 4, 2)"
多家音视频取消默认自动续费,4159,导语：就自动续费扣款未提醒问题，11家视音频网站表示购买连续包月、包季、包年的消费者，将在扣费前通过发送站内消息、手机短信、微信等形式，主动提醒用户即将扣费。,"[5, 6, 2]",2717,"(5, 6, 2, 3, 1, 19, 18, 4, 17, 11, 9, 13, 16, 8, 12, 22, 0)","(1145, 51, 42, 23, 22, 15, 12, 12, 10, 9, 9, 8, 6, 5, 5, 2, 1)"
大学生考试定律,4212,导语：哈哈哈哈哈，来说一说大学生考试有什么定律？分享一下你考试时的趣事,"[2, 3, 8]",2718,"(2, 3, 8, 21, 13, 5, 12, 1, 0, 16, 20)","(222, 75, 9, 7, 7, 5, 2, 1, 1, 1, 1)"
雷蒙王治郅冲突,13055,导语：什么情况？八一球员雷蒙暂停期间与主教练王治郅产生争执。,"[1, 6, 3]",2719,"(1, 6, 3, 14, 11, 15, 2, 0, 16, 9, 22, 19, 4, 10, 17)","(56, 14, 12, 7, 6, 6, 5, 5, 5, 3, 3, 3, 1, 1, 1)"
印度7成旅游从业者面临失业,3172,导语：印度70%的旅游从业者将面临失业。印度专家表示，旅游业约占印度经济总量的十分之一，旅游业遭受重创，将使印度经济雪上加霜,"[18, 2, 12]",2720,"(18, 2, 12, 4, 9, 5, 11, 3, 10, 13, 1, 15, 14, 8, 7, 0, 19, 22, 20)","(628, 177, 86, 60, 54, 51, 42, 31, 23, 20, 15, 14, 10, 9, 9, 5, 2, 1, 1)"
你们省的镇省神器是什么,1964,导语：带话题发微博，说说你们省的镇省神器是什么，康康哪个省的最好玩，转评赞≥5即可入围噢～,"[2, 3, 18]",2721,"(2, 3, 18, 8, 4, 11, 21, 22, 13, 7, 1, 0, 9, 17)","(201, 60, 15, 13, 13, 12, 12, 10, 7, 6, 4, 3, 1, 1)"
尼格买提英文,5214,导语：#微博宅live#《你好生活》复播，作为节目制作人的尼格买提为此开直播向大家安利节目，小尼难得秀出自己的英语口语，竟没想到口语这么好！,"[5, 7, 6]",2722,"(5, 7, 6, 2, 3, 1, 15, 8, 10, 23, 0, 12, 13, 20, 4, 21, 18, 16, 9, 19, 14, 17)","(1522, 113, 30, 29, 22, 20, 15, 13, 12, 11, 9, 9, 9, 9, 6, 4, 2, 2, 1, 1, 1, 1)"
三九第一天,917,导语：今天是全国各地进入三九第一天。我国有“数九寒冬”的说法：“三九四九冰上走”，这是最寒冷的时光。俗话说，夏练三伏，冬练三九。比拼一下意志与勇气，待春回大地时收获一个更强大的自己！,"[0, 2, 3]",2723,"(0, 2, 3, 8, 9, 16, 4, 21, 12, 11, 7, 1, 15)","(59, 37, 16, 6, 6, 6, 5, 5, 4, 1, 1, 1, 1)"
英国医院将新冠患者悄悄送回养老院,11258,导语：英国当地时间5月8日，据《每日邮报》报道，英国几家医院将已确诊的新冠感染者送回养老院，引发新的感染。据报道，这些医院并没有将这些患者的病情告知养老院的工作人员。养老院因没有意识到病毒的存在，未采取充分的防疫措施。英国护理质量委员会正就此展开调查，但并没有透露这些医院的名称和地点。,"[1, 6, 5]",2724,"(1, 6, 5, 15, 2, 11, 19, 12, 7, 13, 0, 16, 10, 20, 3, 23, 22, 17, 14, 4)","(965, 429, 67, 31, 19, 16, 11, 11, 10, 10, 9, 9, 8, 8, 7, 7, 4, 4, 3, 2)"
泰国人防疫大赏,8721,导语：很认真在防疫的泰国人，太有趣了哈哈哈哈哈哈去哈哈哈哈哈哈哈哈哈哈哈哈哈哈嘎嘎哈哈嘎嘎哈哈哈哈哈哈哈哈,"[8, 3, 2]",2725,"(8, 3, 2, 1, 6, 14, 5)","(295, 81, 46, 8, 5, 4, 3)"
汉口北市场开市商户激动落泪,8403,导语：休市期间这里“安静得有点可怕”，有商户开市当天激动得流眼泪，因为“一家老小生活有了着落”。,"[0, 4, 5]",2726,"(0, 4, 5, 14, 17, 16, 6, 2, 22, 23, 20, 21, 13, 7, 8, 18, 3, 10)","(776, 105, 20, 15, 14, 13, 10, 9, 9, 9, 9, 8, 5, 4, 2, 1, 1, 1)"
幼儿园过出养老院的气质,5423,导语：欢迎带#幼儿园过出养老院的气质# 话题发微博，分享你见过过于“成熟“的孩子呀[doge],"[3, 8, 2]",2727,"(3, 8, 2, 12, 1, 17, 0, 5, 20, 18, 15, 10, 6, 14, 13, 16, 9, 4, 7, 19, 21, 23)","(319, 129, 35, 13, 10, 10, 9, 8, 8, 7, 7, 7, 6, 6, 4, 4, 3, 3, 3, 3, 2, 2)"
抹茶炼奶巧克力,6598,"导语：好吃的抹茶炼奶巧克力～美滋滋
","[7, 2, 23]",2728,"(7, 2, 23, 4, 1, 18, 3, 0, 11)","(81, 7, 6, 5, 4, 2, 2, 2, 1)"
戴口罩只罩住了嘴巴,6496,导语：发微博带上话题说说现在很多人戴口罩都不遮鼻子是为什么呢？,"[3, 1, 15]",2729,"(3, 1, 15, 6, 2, 8, 11, 9, 0, 16, 13, 4, 22, 19, 14, 21, 12, 10, 23, 17, 5, 20, 7)","(435, 235, 83, 80, 78, 40, 32, 28, 26, 17, 14, 13, 12, 11, 9, 8, 6, 6, 5, 5, 4, 4, 1)"
确诊小伙40多位密切接触者未被感染,10212,导语：陕西安康小伙1月23日从武汉返回老家，1月28日被确诊为新冠肺炎患者。小伙的40多位密切接触者包括他的父母，目前都已解除医学观察，均未被感染，他是如何防护的呢？来看他的自拍讲述。,"[5, 0, 14]",2730,"(5, 0, 14, 1, 13, 7, 4, 18, 17, 20, 2, 3, 9, 15, 12, 16, 21, 8, 22, 23, 19, 11, 6, 10)","(2811, 199, 68, 56, 45, 38, 31, 28, 28, 28, 26, 24, 23, 23, 22, 22, 18, 16, 16, 16, 15, 14, 14, 13)"
国门为同胞而开而非为病毒,3931,导语：郭志坚：提醒生活在国外的同胞，一定要加强自我防护，减少出门，出门一定戴口罩。如果觉得国内更安全要回来，务必主动如实报告个人健康状况。国内疫情防控取得今天这样的成绩，很不容易。祖国不可能不欢迎同胞回家，但国门是为同胞而开，而非为病毒。大家都有责任把国门守好，把闭门羹留给病毒。,"[5, 11, 6]",2731,"(5, 11, 6, 17, 0, 4, 2, 1, 22, 19, 14, 18, 10, 12, 9, 3, 13, 8, 7, 23, 16, 20)","(2759, 145, 95, 33, 25, 17, 15, 13, 11, 7, 6, 4, 4, 3, 2, 2, 2, 1, 1, 1, 1, 1)"
世界上首座进入奥运村的高铁站,1167,导语：坐着高铁去滑雪！京张高铁成为世界上首座进入奥运村的高铁站。,"[13, 5, 19]",2732,"(13, 5, 19, 14, 1, 0, 23, 7, 18, 8, 2, 10)","(379, 27, 9, 9, 7, 7, 5, 4, 2, 2, 1, 1)"
王珞丹问瓢哥能退货吗,9739,导语：王珞丹在微博晒瓢哥的拆家日常，还问《向往的生活》节目组：“这货能退吗？”瓢哥——一个无情的拆家机器罢了！,"[8, 2, 3]",2733,"(8, 2, 3, 1, 0, 9, 10, 18, 6, 21, 17, 5, 19, 7, 23, 15, 12, 20, 11, 14, 4, 16, 22, 13)","(4866, 942, 572, 46, 44, 34, 20, 18, 17, 16, 16, 15, 11, 10, 10, 9, 9, 9, 8, 8, 6, 6, 4, 4)"
朴智勋,7463,导语：parkjihoon（박지훈 ） 出生于1999年5月29日 身高173cm 首尔艺术表演高三在读 韩国Maroo Ent旗下练习生 特长popping&beatbox 于男版produce101中 被亲切称为winkboy 目前节目正进行中 希望大家多多给小哥哥投票^_^,"[10, 4, 1]",2734,"(10, 4, 1, 0, 11, 2, 15, 5, 19, 17, 9, 21, 6, 13, 16, 20)","(5742, 233, 30, 30, 10, 10, 10, 8, 7, 3, 1, 1, 1, 1, 1, 1)"
援鄂男护士收到偶像彭于晏签名照,6661,导语：4月14日，山东援鄂护士李越结束隔离收到偶像@彭于晏 的签名照和棒球帽。李越喜欢彭于晏9年，在武汉时他还将偶像的名字写在了自己的防护服上，隔空许愿想要一张彭于晏的签名照，如今成功圆梦。,"[7, 20, 0]",2735,"(7, 20, 0, 3, 5, 2, 4, 8, 16, 9, 13, 21, 1, 6, 17, 18, 19, 12)","(741, 483, 109, 47, 45, 37, 36, 14, 13, 9, 9, 8, 8, 5, 2, 1, 1, 1)"
鼠年戒指,13748,导语：好好看的小老鼠[爱你] ​,"[22, 16, 7]",2736,"(22, 7, 16, 1, 0, 13, 5, 2, 20, 3, 14, 17, 8, 4, 21)","(50, 36, 36, 20, 12, 9, 7, 6, 4, 3, 2, 2, 1, 1, 1)"
健康平安就是福,2170,导语：一家人健健康康的，平平安安的，就是福，就是全家福。,"[0, 5, 10]",2737,"(0, 5, 10, 13, 9, 4, 6, 17, 7, 21, 23, 20, 18, 11, 16)","(1848, 75, 44, 25, 15, 14, 13, 12, 7, 6, 6, 6, 5, 2, 2)"
